comment,emoji_sentiment,caps_count,yelling_alert,profanity_score,polarity,subjectivity,length,num_words
beware it was sold out on a friday and they made us pay for parking just to find out we could not get in bad on me for showing up and expecting the place to be available but charging us for parking is an absolute money grab,0.0,0,0,0.11554491708647077,-0.03333333333333327,0.6555555555555556,1.0195374115251983,1.3036182781561836
dusty rooms the hotel was overall very cute for kids but the room was extremely dusty the curtains lego figurines and kids bunk there was also a spider in the kids area,0.0,0,0,0.11050019610440036,-0.037500000000000006,0.55,0.336380683987915,0.3390561319342377
so expensive for the ride tickets extremely hot to sit on metal seats in the summer and freezing cold in the weather rides don t operate in the rain so choose your days carefully food is expensive and doesn t taste as good as the price you pay,0.0,0,0,0.03925829673101223,-0.125,0.8083333333333332,1.267958039720574,1.3679224212376466
very busy airport lucky there was plenty of parking i only saw the area before sa checking so i can t say anything about what s after security checking,0.0,0,0,0.045996966495947714,0.15444444444444444,0.7411111111111112,0.12522315002184561,0.14614370268984853
it would have been nice if more was open for late flights airplane,0.0,0,0,0.046595141412204374,0.2,0.65,-0.9305645198085013,-0.8827225866135604
it s a disgrace not even pm and all the vendors in both concourse are closed except for a crappy mcdonald it will remain a pick billy airport,0.0,0,0,0.5985835096013092,-0.1,0.1,0.001012835924157725,0.08183955960838549
good at everything original bueno en todo,0.0,0,0,0.002516608056441576,0.5375,0.675,-1.241090305052721,-1.2685474451023386
if you know someone traveling thru the hatfield jackson airport officials say there was an accidental discharge of a weapon in a security area,0.0,0,0,0.01886540282479374,0.0,0.0,0.013433867333926512,-0.17537701271746675
the largest airport in the world should have more attendants and kiosks for clear sa pre check,0.0,0,0,0.005942129916133582,0.3,0.44166666666666665,-0.5827756403349753,-0.6255060142877081
overpriced and bad food all the beauty of a dm,0.0,0,0,0.1698171586550362,-0.6999999999999998,0.6666666666666666,-1.178985148003877,-1.0756350158579495
similar to the myrtle beach s wonderworks my kids like to stay there to kill the whole day some stupid game and some instructive ones anyway you can find what you need,0.0,0,0,0.8968903493246106,-0.24999999999999997,0.55,0.3239596525781462,0.3390561319342377
lines were a little long as usual but staff did their best to keep the lines moving other than that atl is a beautiful airport and clean,0.0,0,0,0.010351725585136893,0.22916666666666666,0.5035714285714287,-0.06109232112468621,0.017535416526922424
what a complete s t show this is they tell us they have a new plane coming in so it looks like we re finally getting out of sacramento international airport and into dallas and now they just canceled our flight into del rio face with symbols on mouth i am soon done with american airlines face with symbols on mouth face with symbols on mouth face with symbols on mouth face with symbols on mouth,0.0,1,0,0.16526416170902875,0.04727272727272727,0.3709090909090909,3.1683758454151985,3.1684384275186117
a admittance just to see few sharks in the tank they must be out of their minds here is the plot they shut down all ticket sales on site and tell you to buy online where they push to buy guided tour for a small fortune no thank you,0.0,0,0,0.09052937505187585,-0.20185185185185187,0.262962962962963,1.1189056628033487,1.4322265643191097
shame on atlanta innovation customer care yes it s right before pm as i m connecting flights absolutely full terminals everyone looking for food not ne restaurant is open ending less than half work all with warm drinks after standing in ridiculous long lines so disappointing,0.0,0,1,0.25193541721580853,-0.008994708994709,0.5021164021164021,1.6654310448331753,1.2393141350747205
super fun to see such a diverse range af amazing marine animals the shows were also fun to see while also giving some insight into the work they do with the animals overall a very fun place to go see,0.0,0,0,0.01566725982279934,0.27476190476190476,0.3895238095238095,0.7214326576907474,0.8534892765859421
great shows to relax has became over priced for the attractions,0.0,0,0,0.03235422849819094,0.8,0.75,-0.9678276140378077,-1.0113308727764865
there are virtually no benches outside baggage claim to wait for your ride so people either stand there or sit on the ground biggest design flaw ever,0.0,0,0,0.07788044077635507,0.0,0.05,0.10038108720230803,0.017535416526922424
be prepared to walk they do have trains to get you to where you need to be but you have to walk to those grinding quitting face,0.3612,0,0,0.07299588996224529,0.0,0.0,-0.1728816038126053,0.017535416526922424
the step child of texas airports easier to navigate fw or ia but you d rather fly into at signs are misleading but us texans are super friendly so just ask for directions lots of dining options and shopping just needs a face lift i haven t flown into at in a decade remember the alamo,0.0,0,0,0.014692052886697362,0.5027777777777778,0.6888888888888888,1.7772203275210943,1.882355565889351
closed for buyout with no information on buyout and a huge middle finger to people who buy a group do better employees were incredibly rude and didn t try to make the situation better highly unprofessional,0.0,0,0,0.0967767832962626,0.1657142857142857,0.44857142857142857,0.7959588461493601,0.5962727042600899
easy access and pick up although transport to and from airport could be lengthy if you don t hit right there is a bonus no ticket necessary your license plate and credit card to exit,0.0,0,0,0.003945713528240063,0.2396825396825397,0.7896825396825397,0.510275123724678,0.5319685611786269
it was quite less crowded still busy but without the big city defiance rudeness didn t spend much time here but maybe next time,0.0,0,0,0.04899287360055522,0.026666666666666672,0.13333333333333336,-0.1728816038126053,-0.17537701271746675
all ways very busy sometimes it s hard to get help with wheelchair people are treated like cattle,0.0,0,0,0.13313533895649066,-0.08083333333333334,0.4658333333333333,-0.5455125461056689,-0.5612018712062451
there are additions since we visited in i like most pia wurtsbach and queen elizabeth,0.0,0,0,0.027107897780818978,0.5,0.5,-0.6945649230228944,-0.7541143004506342
the whole process is excellent very well identified all the access,0.0,0,0,0.0034099505574220457,0.4666666666666666,0.5666666666666667,-0.9305645198085013,-1.0113308727764865
perfect place for the kids lots of cool exhibits and rides,0.0,0,0,0.06440863133629021,0.675,0.825,-1.0299327710866517,-1.0113308727764865
layout is easy and functional lots of parking,0.0,0,0,0.06373195092954646,0.43333333333333335,0.8333333333333334,-1.191406179413646,-1.2042433020208756
it was good enough got me up up and away,0.0,0,0,0.07594226316474928,0.35,0.55,-1.25351133646249,-1.0756350158579495
this place is really a hit or miss i ve been here about six times and half the time we are in love with how beautiful it is and half the times we are blown away by how inefficient and long the lines are and how disgusting hot it is,0.0,0,0,0.16615311890217327,0.052083333333333315,0.5479166666666666,1.1189056628033487,1.4965307074005727
arrived hr early for my flight and it was a good idea airport is always busy always give a hr arrival to ensure you aren t late for your flights,0.0,0,0,0.028272754337558954,0.14999999999999997,0.45000000000000007,0.03827593015346409,0.2104478457713116
its an airport secure was quick and efficient had a very early flight and only one place was serving coffee and that was mcdonald s luck,0.0,0,0,0.014300664090228971,0.21583333333333335,0.6225,-0.06109232112468621,-0.04676872655454063
you should limit the number of people you allow in this we had people and paid mad money and it was packed so packed only stayed about an hour didn t do any activities to many people in line i wish they would of told us we wasted over bucks,0.0,0,0,0.3369988241488788,-0.08125,0.625,1.2306949454912677,1.4965307074005727
what a zoo we will plan our future trips to avoid this airport,0.0,0,0,0.011500778337976752,0.0,0.125,-0.9802486454475765,-0.8827225866135604
