industry,review_comment,rating
International Airport,Most of the restaurants are closed or they close earlier than advertised.,3
International Airport,"Continuous, annoying light chop. I said hello to a pilot as I was walking down the terminal to my gate. He looked at me then brazenly looked away as if to disregard my existence as an interior being while stabbing ice daggers through my brittle heart. Thought this was maybe just a fluke incident but it happens to me every time I pass through this airport...EVERY TIME.",3
Airport,It's not very busy as of Monday 12/7/20. I was told to allow 90minute before departure of flight.,3
International Airport,Hartsfield-Jackson Atlanta International Airport,3
Airport,Very huge airport let's just say during the day the staff are much more able to assist and support you as you make your way through the terminals but at night due to COVID help and insight is very limited in which in other words you're on your own.,3
Airport,It was fast getting  in and out had to pick up my grandson.,3
International Airport,Signs for getting around are a bit hard to follow. The 'Blue Line' was long getting to us. Bag return were by far the speediest I've ever seen in my travels.,3
International Airport,"Busy airport, arrive 2 hours early!!",3
International Airport,How big is the carry on size be and what is the biggest size you can take,3
International Airport,This is long overdue. First time inside (and not above in 🚁) Hartsfield-Jackson Atlanta International Airport since March & thrilled to be supporting the fine women & men at my hometown airline Delta Air Lines #smilinvacationcam,3
Airport,"A few retailers and food shops open, including the wine bar!",3
Airport,Cousin's flight got cancelled so they put him on a later flight and me and my husband has been waiting since 4pm and still waiting,3
International Airport,It was the usual... except just much less crowded.,3
International Airport,Light traffic . Google map does not work well,3
International Airport,I never saw the walls that was very informative,3
International Airport,"Long day. Flew out this morning, back in the evening. Looking forward to a comfortable chair and a good drink.
 Hartsfield-Jackson Atlanta International Airport",3
International Airport,"Just in case you were looking for the Grinch. We found him! He just touched down in ATL. Without his mask. 

Wear your mask. 

Follow us @travelsist

🎥Hartsfield-Jackson Atlanta International Airport",3
International Airport,"Just in case you were looking for the Grinch this year. We found him. He just touched down at ATL Airport. Not wearing his mask.

Wear your mask. 

Follow us and tell a friend. 

🎥
Hartsfield-Jackson Atlanta International Airport
https://www.instagram.com/tv/CI68LGuhQgG/?utm_source=ig_web_button_share_sheet",3
International Airport,"Cargo area,in and out easy load",3
International Airport,It's quite busy this lovely Friday evening,3
Airport,Airport is great unless your flying in with bags. I’ve waited over 30 min on both occasions and on one occasion they just didn’t label the carrousel,3
International Airport,The airport was not as busy as I thought it would have been,3
International Airport,There are a lot of shops and restaurants still closed in some terminals.  This airport is pretty busy but it is a few days before Christmas.,3
International Airport,Arrive early even for 6am flights. Lines are long this time of year!,3
International Airport,First time  on the Train. Had to connect  to my flight.,3
International Airport,Its Atlanta. Study the map before you get here,3
International Airport,"Once again, had 20 minute run to my connecting gate.",3
International Airport,On the 9th of December 23rd we flew into Atlanta took the train to the main terminal and the temperature in the train cars were 87.6 degrees. It was suffocatingly hot. That is kind of a safety issue if people overheat and start passing out on the train passenger cars.,3
International Airport,"Busy, busy. Social distancing is hard, but travellers are making extra effort.",3
International Airport,"(Translated by Google) Martha

(Original)
Marta",3
International Airport,It's incredible to see such a long line for TSA -PRE!,3
International Airport,The delta terminal where my flight is has a very low number of seats in the lobby. Room for 4 ppl is all. Everything else is great.,3
International Airport,"Very busy
Should be atleaat 2 hours early",3
Airport,"mediocre at best.  I have been in alot of airports, this one does not stand out for anything really.  the food options are weak, but has good seating area's.  Not big enough for airline lounges.  restrooms are clean.  Giant rabbit hanging is odd at best.",3
International Airport,Had to wait 9 hours in an airport which only had a bar and one restaurant open. Luckily I had a few videos in my tablet. This Corona Virus makes life really lonely.,3
International Airport,"Delta Sky club was nice,not very crowded at all. Club ATL was crowded not as nice but still better than waiting in those hard airport chairs",3
International Airport,So there's no restaurant food at all on the side terminals and there is no sign for that,3
Airport,This airport is extremely busy.  Wish there was a better way to manage the traffic,3
Airport,Nicely renovated but nothing open,3
International Airport,"Airport was surprisingly busy, but it is three days before New Year's.",3
International Airport,As large as this airport is the people should be better trained and know where things are I don't think I've ever asked anyone in Atlanta airport where something was and got a straight answer. Training training training,3
International Airport,A lot of construction still going on.,3
International Airport,"Nice airport , but staff were not helpful. You could tell they hated their job. Some were helpful many were not.",3
International Airport,God Bless America. And God Bless Hartsfield Jackson Airport.,3
International Airport,"Busy, not far from normal activity.",3
International Airport,"Hartsfield Jackson Atlanta international airport is also know as Atlanta hartsfield Jackson international airport is the primary international airport service Atlanta, Georgia.
ATL covers 4700 acres of land and has five parallel runways.
It has been world's busiest airport by passenger travels since 1998.",3
International Airport,"(Translated by Google) Big

(Original)
Grande",3
International Airport,This place can be a zoo and total cluster fluck if you are connecting and have a narrow time frame to depart from another terminal. Edit: smooth sailing on most recent connection domestic to intl.,3
International Airport,You can't rent as a local with no flight without a credit card but they'll let you book with a debit card online 🤦🏾‍♀️,3
International Airport,It's to big of a airport . From experience if you are connecting flights make Shure u get a lot of time,3
International Airport,I needed food but received none,3
International Airport,Not super crowded and a lot of sanitation stations,3
International Airport,In one of the smaller lounges - no drop in quality of services offered.,3
International Airport,"Always busy but i figured maybe TSA would have that place running more smoothly & efficiently I guess not. Now I remember why I disliked this airport, security checkpoint at most times is a joke. Definitely get there 2hrs ahead of time unless you have pre-check.",3
International Airport,"First time I experienced a train taking me to my embarking course, it could use improvement regarding the food vendors, but the staff its great. TSA its a little more annoying and rude than in other airports though.",3
International Airport,Most of the shops are still closed probably due to covid,3
International Airport,Busy but not crowded at 5:30 am,3
International Airport,All that's open here for food now is Starbucks and a convince store... Get food before coming to Terminal F..,3
International Airport,Its a really nice airport but I thought with the high price renovations they would have accounted for the pick/up and drop/off traffic!!! But no satisfaction.,3
International Airport,Its clean and friendly. They just need to update so there are places to charge your phone. Very much lacking this service if you are on a layover.,3
Airport,"We  are excited to share that Sacramento International Airport now offers onsite COIVD-19 testing

https://www.yountvillechamber.com/sacramento-airport-offering-onsite-covid-testing/",3
International Airport,"Here to pick up a very special guest to Atlanta. When I fly outta here, never have time to linger in the Lobby before u go through security. It’s so PRETTY #atlanta Hartsfield-Jackson Atlanta International Airport",3
International Airport,More people than I expected.  The whole destinie thing is a joke,3
International Airport,I wanted one of these from Hartsfield-Jackson Atlanta International Airport Papi's Cuban Grill but didn't get it. Dang.,3
International Airport,"Be prepared to walk!! They do have trains to get you to where you need to be, but you have to walk to those. 😆",3
International Airport,Great airport just had bad experience with delta taking Mr from one end to the other multiple times because they kept changing gates on me almost making me miss my flight,3
International Airport,"I wish I had taken more flights on Mad Dogs, like this Delta Air Lines MD-88 departing Hartsfield-Jackson Atlanta International Airport back in the day",3
International Airport,"Out of all the airports I've been to, this one is consistently staffed with the rudest,  most unhelpful staff anywhere.  Doesn't matter what airline you pick.  The airport itself is great and modern and easily traversed.   Pick up the entire airport, give it a good shake to get all these duds out of it,  and set it in another city, and it would be 5 stars",3
International Airport,"Still a busy airport, not as crowded as it used to be.",3
International Airport,The parking lots were confusing but at least there were workers and wheel chairs.,3
International Airport,Spending the night in Hartsfield-Jackson Atlanta International Airport 😒😒 A Covid case shut down the ATL traffic control tower and severely delayed flights out of Orlando today.,3
