industry,review_comment,rating
Airport,"Very clean, needs people conveyors. Long walk from A1 - A-34.",4
Airport,"Fly out of this airport constantly & there’s some pros and some cons.

Pros- usually not crowded so that’s always a plus. Lines aren’t usually long and tsa goes smoothly.

Cons- the food/restaurants are nothing special. Service sucks & food is subpar that comes out messy, cold, wrong, and of course- overpriced.",4
Airport,Good experience. Busy as usual but I felt safe and everyone was following social distancing and no delays. Good day,4
Airport,"All the TSA employees i meet today were very good.
Always extremely confusing to fly international and over nite at hotel.

Hotels have free shuttles back to domestic but they do not have them to international.

Our group had eight dive bags, it took 4 phone calls, 2 to the owner of the transportation company, so they under stood we wanted big van an only go to the international terminal",4
Airport,"No issue getting around the airport and the gate to gate Subway line proved useful.
Another stop in ATL. It's huge so a busy time is accommodated and doesn't feel too crowded. It's really a decent airport experience",4
Airport,It's really big but you can get around using the tram.  It could use some people movers.,4
Airport,"After a long flight with a connection, it's nice to be able to take a walk to the other gates, and stretch your legs, also lots of good restaurants to choose from",4
Airport,"Who knew that little ol' SMF would have the glow up it did. It has Clear, an Amex lounge, and a super efficient TSA set up. Because of work I'm at this airport weekly, mainly terminal B. The ONLY thing I would say is a bummer is the food options and the lack of good coffee. They do have a Starbucks but the line is ridiculous and the wait time makes you question if you'll make your flight.",4
Airport,"Very well connected, usually clean. They just moved rideshare to a location that’s quite a bit farther than before. TSA lines can get really long.",4
Airport,Nice quiet experience. Plenty time me to rest between flights. Only bad this was too early in the morning. Restaurants were close.,4
Airport,Finally a quick tsa check point and on time departure,4
Airport,"Not a bad little International airport. The wife and I typically fly in and out of this airport. The only issue I have are the bathrooms not being that clean but other than that. It is a good airport. If you can do it, try to get the schedule for arrivals in the morning on a weekend or midday on a weekday. Then you will be faced with less traffic.",4
Airport,"had a pretty decent flight, but the weather is horrible. wet and cold is not my thang. I am truly a Miami dade resident.",4
Airport,Lot's of good food if you have a long layover.,4
Airport,"Great experience,  bathrooms could be better supplied, but over all Delta is the way to go",4
Airport,"If you can, at least once walk to or from your flight to check out the art installation in the walkways. The rainforest from A to B terminal is great",4
Airport,"Small airport easy to get around.  Basically clean.  I encountered a gentleman informing everyone he was the airport clean up man. Indicating he was there to keep all areas clean.. He was full of energy and was pleased to keep his area clean. I truly appreciated his work ethics
Although my stay was freezing cold Feb 2-4.",4
Airport,"Caught a connecting flight at ATL. The layover at ATL was sufficient (90 minutes) to take a leisurely walk through the airport. There are many shops and opportunities to get something to read and eat. The plane train from concourse to concourse is a great way to quickly get to the different concourses.
I would not want less than a 30 minute layover at ATL between flights.",4
Airport,"Great access. Much better than the Domestic Terminal of Hartsfield Airport. No cell phone temp parking lot on this side, though.",4
Airport,"TSA lines are long, be ready for delay if your ID is not up to date. Flight were pleasant,",4
Airport,"Huge Airport with plenty of bathrooms, nursing stations, charging stations, and food! There is also a shuttle inside the airport to take you to each terminal. Arrive for your flight early to take the shuttle and to also look around at some of the art.",4
Airport,Traffic is hectic unloading but checking in to flights were smooth and the agents are very helpful.,4
Airport,"Large spread out airport, but doable.",4
Airport,"It's oddly like a place to park, maybe even while waiting to pick up someone from the airport, kinda.",4
Airport,"(SMF) Sacramento International Airport, California Terminal A, Curbside, Ticket Counters, Baggage Claim and up to TSA, walk through... Chet's Adventures Beyond",4
