industry,cleantext,rating
Airport,"One of the easiest airports to navigate. Plus trams, elevators, escalators, moving sidewalks, riding carts, restaurants, fast food, stores",5
Airport,The only place to fly out of Minnesota if you are gonna be flying anywhere in the country.,5
Airport,Clean and easy to navigate. Huge as well!,5
Airport,"Love Terminal two for the lack of traffic and ease of movement, Terminal one for all the food and last minute shopping options. But both are designated international airports with spots to refill your water bottles at the gates.",5
Airport,"Somehow, this large airport still feels manageable and welcoming.  Reasonable food options, nice lounges, lots of seating at the gates.  One of my favorite airports to fly to/through",5
Airport,"Always easy to navigate. Good restaurants, ample shopping for gifts or necessities.  TSA has been running smoothly lately so the wait times aren't terrible.",5
Airport,"Great Airport, incredibly fast security checking. I love ATL.",5
Airport,"Parked went in went down to the international arrivals next to the customs office, met m y friend and left quick and smooth",5
Airport,"Clean, bright and crisp. Good casual restaurants near the gates.",5
Airport,"Easy in, easy out. Beautiful airport!",5
Airport,(Translated by Google) Very good service (Original) Very good service,5
Airport,Great flight. United is the way to travel.,5
Airport,Great airport to transition through. Nice high end and local stores. Really good food options. Always a pleasure to visit on a layover.,5
Airport,"Clean airport, friendly staff that’s more than willing to help if you have questions.",5
Airport,"It was a flawless board, everyone was very helpful.",5
Airport,"Good airport, clean and organize.",5
Airport,Easy place to travel in and out of.,5
Airport,"Great Experience.  Everyone was super nice.  From the police directing traffic, Southwest ticket agents, Security, etc.  Everyone was very friendly.",5
Airport,Looks like a lot has changed in the last one year but still very clean and helpful staff at every turn. The airport shuttle drops you to park and ride where it used to pick you up,5
Airport,The Airport was clean and well layer out! For the short amount of time I was there it was a good airport! It was SUPER Clean!! Great Airport!!,5
Airport,"Its one of my favorite airports in CA. It small, not crowded at all. Security is really quick and especially at the gates, there are not many people like other airports.There a decent food options in Food court. Its just a cute little airport and the flights to this airport are not really expensive especially from Chicago.",5
Airport,"International side of this Airport Departure.....is AMAZING.  Easy access, light traffic, short lines...STRESS FRE3",5
Airport,"It was smooth sailing.. I have to warn some. The airport reminds you of a small city.

Shantel from Southwest was very friendly, professional and attentive.  The other airport staff was so great",5
Airport,"Clean, super helpful and nice employees. Lots of places to eat. Its a class A airport.",5
Airport,They are friendly and fast. We had a great trip through there. They got our bags to us right away and the plane was clean with friendly service.,5
Airport,Lado a grill is fast and the most bang for your buck.  Restrooms and the attendant in the A course were excellent,5
Airport,A really nice airport. San Antonio is a fun place!,5
Airport,"Hometown airport, I know it and love it",5
Airport,Great modern airport. Updated. Easy and convenient,5
Airport,Good airport. Nice and clean.  USO is great.,5
Airport,I especially appreciate the workers that push my w/chair. They were very kind and courteous,5
Airport,Nice and tidy airport! I’ve been at many airports but the SAT airport stands out in cleanness and great travel experience with friendly staff of San Antonio International Airport SATx,5
Airport,"Very clean, employees are thoughtful and helpful.",5
