industry,review_comment,rating
Airport,"Absolutely atrocious. If I could give zero stars, I would. The staff is rude and inefficient, despite a recording that plays stating that this airport is the most efficient. TSA Pre-Check is not operated according to the guidelines necessary, and the airport is set up so poorly.",1
Airport,"Almost all the restaurants close about 3 so if you like eating past then or have a plane coming in after that, you won't like ATL.",1
Airport,"8pm Sunday evening and ALL restaurants are closed!!!
International airport and Delta hub.",1
Airport,"It was a Night mare,in every way possible.",1
Airport,"Always busy, wait times are terrible.",1
Airport,Very busy with no stopping had to ride the loop twice because of passenger delays and no wheelchair access to help passenger.,1
Airport,You say you are following CDC guidelines and yet I see most food service employees and management is not. I know that I am back in the states where stupidity rules. Please make a real effort to protect the public.,1
Airport,Your lucky if your plane is fit to fly out of this airport. This is the second time in a month we've had an issue with an our  plane. Flying Delta who is watching out for maintenance on these planes,1
Airport,The staff that works for Spirit Airlines is very rude! The one with the nappy wig was yelling for no reason at passengers. The staff also needs to rearrange how they have their line.,1
Airport,Very unorganized and bad customer support,1
Airport,bad customer service and information/ doesn’t make any sense to one of the biggest airports in the world,1
Airport,I've been waiting for my checked bag for 2 hours now. What is going on? Fix it. I don't ever want to check another bag through this airport again. Here's an idea. How about paying people a fair wage so that you won't have a labor shortage every week?,1
Airport,Too big and confusing. The staff at security are Very rude,1
Airport,"Slow and abrasive security checkpoint that's way too serious and kind of rude for such a small, ""international"" airport.",1
Airport,"Confusing directions, awful traffic, and will avoid in future",1
Airport,"Worst airport I’ve ever been in, it’s no wonder the traveling public is getting more aggressive.",1
Airport,My wife and I traveled from ATL back home to Philly Monday night. We noticed our suitcase was literally the very last suitcase to come up. One of our friends we traveled with notified us that his sneakers was stolen from his suitcase. I jumped up checked our suitcase case sure enough my wife sneakers GONE😡😡🤬🤬. We took 5 trips this year never had an issue come to ATL stuff stolen..,1
Airport,It’s 7:30pm and ALL food options at the Hartsfield-Jackson Atlanta International Airport are closed for the night. How is this even possible?!? Are that many people not working that you can’t reopen the food options here? Absolutely ridiculous.,1
Airport,To many people took 2hrs to get through tsa,1
Airport,Very frustrating airport!  All restaurants close at 745pm or 8pm.  Long lines and waited in 2 lines and when I got close they both closed with about 10-15 people waiting.  No posted hours on the restaurants.,1
Airport,"7:00 pm and food services are either closed or only serving alcohol. Fast food places and the “convenient” stores have lines out the door and into the major walkway, just to check out. It’s also hot and humid inside. I guess they’re trying to save $$$ due to Covid-19. Horrible experience",1
Airport,"Super frustrating- No stores, coffee shops, or restaurants are open after 8. Do not fly in here late as everything is closed. You might come across an open place but they are short on capacity due to covid and have waiting lines over an hour long. Nothing worse than flying all day, and not being able to get dinner and still having another flight after.",1
Airport,Rude attendant lectured me on bag policy. Refusing to listen to me and  then insulting my intelligence. After failing to realize she was in the wrong she continued to be not just rude but very rude. Learn better hospitality or teach better hospitality.,1
Airport,How does everything close down at 9pm at one of the busiest airports in the US. I was at gate E and I couldn’t even find a place to buy a water. Smh,1
Airport,Such when the airline promise hotel and no hotel available,1
Airport,"Canceled flight, no other options.  Lost luggage.  Ruined vacation.",1
Airport,"The absolute worst Airport!!! 😫
Not very clean and shops/restaurants closed before 8pm. Staff is very short tempted!  I neva would recommend going to this Airport!",1
Airport,2nd time I've left this airport without my luggage to take home and staff can never tell you what happened. We waited nearly 2 hours for our luggage at the international baggage claim and it never showed up. We had to run to catch our next flight so we'd at least it make home.,1
Airport,Had 2 hour layovers both ways. Everyplace was closed. Extremely disappointing.,1
