processed_sentence,mainkeyword_list
way overpriced with only a few exhibits the whales have hardly any space to swim and that is just sad do not waste money on this disgusting business that pretends to care about wildlife ,['Exhibits']
if your hungry generic food choices but your not there for that. ,['Food']
for rental cars why build around delta. plus your employees are rude ,"['Airlines', 'Rental Car', 'Staff']"
"but this airport is a major confusing# %, check-in is too small, and everything is too spread out really two trains? ",['Check In']
what is the point of having tsa-precheck if all the security lines are combined? what time does it start at atl ,"['Crowd', 'Security', 'Security']"
"this airport is huge and everything has long lones airlines checkin, baggage drop off and the tsa lines. we have global entry and even with tsa precheck, the tsa process took us approximately 30mins. ","['Airlines', 'Check In', 'Check In', 'Security']"
"for the most part this airport is very clean and well maintained lastly, i would highly recommend all passengers flying from this airport to give yourself more than the recommended time 2-3 hours. ","['Cleanliness', 'Cleanliness']"
"this airport is huge and everything has long lones airlines checkin, baggage drop off and the tsa lines. we have global entry and even with tsa precheck, the tsa process took us approximately 30mins. i am positive that later in the day it gets busier, tsa process will be much slower. ",['Security']
"the biggest problem is the overwhelming volume of passengers, because this airport offers so many domestic and international flights. so i am giving them a 4 star rating, because depending on the time of the day it seems like there was not another tsa staff. ","['Staff', 'Staff']"
there are trains and trams and confusion it took 45 minutes of mostly walking to get from terminal to car rental give your self lots of time before a flight check in takes forever as the kin s are very long all day long get yourself a tsa pre check ,"['Check In', 'Rental Car', 'Security']"
the federal government already did a background check on me yet he tried to humiliate me and portray me as a criminal to the people who were standing by me it was appalling 3 tsa pre-check line is at delta/redsouth terminal so if you travel on southwestbluenorth terminal you have to walk all the way to the other side. ,['Airlines']
"the number, variety and uncommon types of animals make this the best aquarium we 've ever been to. we went on a monday and it was still extremely crowded, which made it hard to get a decent view of some things so i would suggest going during off season. ","['Animals', 'aquarium', 'Crowd']"
"unfortunately we went on a very, very busy day and it was extremely crowded. we only got to see the sea tunnel, which was amazing and the dolphin show. there was so much more to see, but it was impossible because of the crowds. ","['dolphin show', 'Entertainment', 'ocean voyager']"
"despite the crowds it was well run i would live to go back on a weekday, not in the summer to get the full experience. ",['Experience']
translated by google large very large airport long way you should plan a little more time original large very large airport long way you should plan a little more time ,['Wayfinding']
"staff walking the gate areas on their phones and unable to offer assistance not a positive experience on a more positive note, delta airlines customer service was great and the gate areas provided comfortable seating and a relatively clean space for waiting. ",['Airlines']
"the airport lacks enough independent lounges non airline, so if you want to use priority pass only terminal f has a very poor quality lounge not good for a quick transfer or to go quickly as they offer only starchy food and drinks and always overcrowded. overall it is an impressively efficient airport ","['Airlines', 'Crowd', 'Lounges', 'Restaurants', 'Restaurants']"
"for international flights, immigration is very efficient us citizens more than foreigners where it will take 3-5 minutes to go through it. if your origin is atlanta, check in is super fast but security lanes are extremely long even those with clear or tsa clearance allow 30-45 minutes to go through security. those transferring between flights won t be affected by this, and a 45 minute layover is disable doable. ","['Check In', 'Security', 'Security']"
super efficient airport to transfer across 7 terminal in the subway in 5-15 minutes plus walking to the gates. ,"['Ground Transportation', 'Restaurants']"
"be sure to sit in the first 5 rows of the dolphin show to get a good soaking if you stay after 7, it is much less crowded. ","['Crowd', 'dolphin show', 'Entertainment']"
"mid day on the holiday weekend was terrible we ended up leaving across to coca cola, then coming back for the shows. it was nice ","['crowd', 'Others']"
"absolutely worst aquarium i have been to, 1st time here. it was crowded af, literally elbow to elbow we had to book an appt to see the dolphin show which online did not say that it said to book for reservations for the best seats not book so you can have a seat we were all thinking we could just walk in like any aquarium my brother went here before and he said it was walk in we would of included the seats with our tickets if we knew. everybody was hogging the glasses, big adults now while kids are trying to look even in the little area they have set up for kids to see. it was very confusing, did not know where to start or end. it felt like they wanted money at every turn though, 20 parking even though online say 12 30 for the photo on the front didnt like it it was 1 photo with many backgrounds 15 face painting absolutely worth it 30-more for the drawing photo, 5 seats for the dolphin show would of love to know so we could book gift shop we got couple things but our kids toys stop working half way home and we live 4 hours away. ",['Application']
"absolutely worst aquarium i have been to, 1st time here. it was crowded af, literally elbow to elbow we had to book an appt to see the dolphin show which online did not say that it said to book for reservations for the best seats not book so you can have a seat we were all thinking we could just walk in like any aquarium my brother went here before and he said it was walk in we would of included the seats with our tickets if we knew. only thing i liked and loved was the face painters, they was amazing the lady who does# 9 on the face painting board absolutely lovvvveeeeeeee herrrrrr always heard atl aquarium was the best but fl, sc va was the best for us. it was my daughter 's 9th bday n she enjoyed herself so and that is all that matters. ",['aquarium']
"absolutely worst aquarium i have been to, 1st time here. it was crowded af, literally elbow to elbow we had to book an appt to see the dolphin show which online did not say that it said to book for reservations for the best seats not book so you can have a seat we were all thinking we could just walk in like any aquarium my brother went here before and he said it was walk in we would of included the seats with our tickets if we knew. ",['Crowd']
"everybody was hogging the glasses, big adults now while kids are trying to look even in the little area they have set up for kids to see. it was very confusing, did not know where to start or end. it felt like they wanted money at every turn though, 20 parking even though online say 12 30 for the photo on the front didnt like it it was 1 photo with many backgrounds 15 face painting absolutely worth it 30-more for the drawing photo, 5 seats for the dolphin show would of love to know so we could book gift shop we got couple things but our kids toys stop working half way home and we live 4 hours away. ","['Price', 'Price']"
"atlanta aquarium is a fantastic place to take your family for a fun and educational experience the atmosphere is filled with good vibes, and everything is well organized. they offer an incredible variety of ocean animals to view, and my kids absolutely loved it. ","['Animals', 'Experience', 'Groups', 'Others']"
"atlanta aquarium is a fantastic place to take your family for a fun and educational experience the atmosphere is filled with good vibes, and everything is well organized. they offer an incredible variety of ocean animals to view, and my kids absolutely loved it. additionally, the cider they serve was delicious overall our visit to atlanta aquarium was a great experience that we highly recommend to others. ","['aquarium', 'Atlanta', 'Experience']"
best aquarium we have visited. it does get very crowded on saturdays around noon though ,['Crowd']
welcome to atlanta unfortunately he doesn t know how to do his job the last three times i ve been at hartsfield i have used the park and ride and the shortest period of time i waited is 20 minutes for pick up to go to the park-andride lot and the longest is 55 minutes. that is inexcusable dickens and the rest of the airport staff obviously don t care about the passengers it doesn t really matter that covid cut back on their employee numbers and they can t hire people their job is to pay people enough to motivate them to come out and provide service to the passengers please do your job mayor ,"['Crowd', 'Price', 'Staff']"
the aquariums and shows were good. my only complaint is the amount of people in there at once there was so many people that everyone was on top of each other not sure of the reason to get tickets ahead of time apparently there is no limit to how many people are in there at one time ,"['aquarium', 'Ticket']"
amazing diversity and collection of marine life and exhibits each beautifully curated and themed based on geography. they even have shows for the public worth your time and money tickets are expensive though and much better than some of the other more popular water theme parks ,"['aquarium', 'Exhibits', 'Price', 'Ticket']"
"the georgia aquarium truly stands as one of the premier destinations for aquatic enthusiasts and animal lovers alike. the show was not only entertaining but also served as a reminder of the importance of marine conservation and the remarkable abilities of dolphins it was a truly unforgettable experience that left me in awe another delightful attraction at the georgia aquarium was the seal show watching these playful and graceful animals showcase their skills and interact with their trainers was a joyous spectacle the show provided an up-close encounter with these captivating marine mammals, and it was evident that they were well-cared for and loved by their dedicated caretakers. ",['Animals']
